project_title,project_id,project_contact,description,,time_interval,project_based_club
project507,507,malvina_effertz66@yahoo.com,Monday was not my best day.,6199,6 months,University of Florida at Miami Aeronautics Team
project508,508,karley.upton93@hotmail.com,Your name is definitely not on the list.,9566,2 months,University of Florida at Miami MedWish
project509,509,raleigh_kertzmann97@yahoo.com,This could become a problem.,6015,5 months,University of Florida at Miami Rocket Team
project510,510,kirstin_terry63@hotmail.com,Moving to the next step is daunting.,4825,35 month,University of Florida at Miami Global Health Design Collaborative
project511,511,earl_leuschke93@yahoo.com,We have bigger problems to worry about.,5117,3 months,University of Florida at Miami Graduate Civil Engineering Student Association
project512,512,georgianna.pagac@yahoo.com,Corduroy and double-denim are back in.,3339,6 months,University of Florida at Miami Medical Technology Group
project513,513,alyson7@yahoo.com,Save your appetite for dinner.,7349,2 months,University of Florida at Miami oSTEM
project514,514,cristal81@yahoo.com,It rather suprised me.,3269,5 months,University of Florida at Miami Society of Hispanic Professional Engineers
project515,515,greta.toy76@gmail.com,You are more than just your shopping cart.,5040,35 month,University of Florida at Miami Society of Women Engineers
project516,516,rhea.ondricka@hotmail.com,I want to go to France.,1212,35 year,University of Florida at Miami Steel Bridge Team
project517,517,ford50@gmail.com,The big building was blazing with lights.,6816,1.5 years,University of Florida at Miami Theta Tau
project518,518,betty.schneider@gmail.com,I'm not sure if there is a meaning to life.,1553,42 months,University of Florida at Miami Women in Science and Engineering Roundtable
project519,519,curt_dickinson11@hotmail.com,It's so expensive I want to die.,2330,38 years,University of Florida at Miami American Marketing Association
project520,520,marianna39@yahoo.com,The computer was hot and overheated.,9827,37 weeks,University of Florida at Miami Association for Computing Machinery
project521,521,elisha74@gmail.com,I’m absolutely sure.,5646,3 months,University of Florida at Miami Neuroscience Society
project522,522,adalberto.west21@gmail.com,I am dirt poor.,7815,6 months,University of Florida at Miami Orchestra
project523,523,tyra_bernier@yahoo.com,The earth is far larger than the moon.,2266,2 months,University of Florida at Miami Developer Student Club
project524,524,ardith.sauer66@hotmail.com,I take ten minutes to get there.,2401,5 months,University of Florida at Miami Design For America
project525,525,rowland.kreiger28@yahoo.com,No one can move this box.,1361,36 month,University of Florida at Miami Discussions Undergraduate Research Journal
project526,526,karen54@gmail.com,I only eat fish.,3810,3 months,Yale University Engineers Without Borders
project527,527,caitlyn.lynch5@yahoo.com,Water damage sucks.,3743,6 months,Yale University Girls Who Code
project528,528,nannie.hickle@hotmail.com,The truck has a missile on the back.,6196,2 months,Yale University Hackers Society
project529,529,jon90@hotmail.com,I’d like to honor an event.,4267,5 months,Yale University Biomedical Engineering Society
project530,530,esperanza_schinner27@gmail.com,I'm not a big fan of blueberry pancakes.,5728,36 month,Yale University American Institute of Chemical Engineers
project531,531,kristofer33@hotmail.com,I need to clean my room.,6142,36 year,Yale University Baja Sae
project532,532,samir.murazik51@yahoo.com,She was hyped up and ready to get to work.,3591,1.5 years,Yale University Aeronautics Team
project533,533,dante.berge68@gmail.com,The store is having a sale.,3747,43 months,Yale University MedWish
project534,534,lavon_johns@gmail.com,I hope you're ready for action.,5575,39 years,Yale University Rocket Team
project535,535,fannie60@yahoo.com,I miss my best friend.,1699,38 weeks,Yale University Global Health Design Collaborative
project536,536,quinton_beatty@gmail.com,I have a bunch of things I need to do.,9308,3 months,Yale University Graduate Civil Engineering Student Association
project537,537,seth39@yahoo.com,The laptop became warm.,8139,6 months,Yale University Medical Technology Group
project538,538,dallin92@hotmail.com,California is not in the United Kingdom.,4805,2 months,Yale University oSTEM
project539,539,corbin3@yahoo.com,She doesn’t see Peter every day.,4201,5 months,Yale University Society of Hispanic Professional Engineers
project540,540,nella.purdy@hotmail.com,I'm one of his fiercest critics.,1817,37 month,Yale University Society of Women Engineers
project541,541,xander_rowe42@hotmail.com,We had a snow storm last weekend.,425,3 months,Yale University Steel Bridge Team
project542,542,jayda.roberts5@gmail.com,Your house is beautiful.,9411,6 months,Yale University Theta Tau
project543,543,winona.collins@gmail.com,We can go to Paris.,9537,2 months,Yale University Women in Science and Engineering Roundtable
project544,544,donnell_jones@hotmail.com,I’d be very surprised if that happened.,1783,5 months,Yale University American Marketing Association
project545,545,bennie62@hotmail.com,There are new deals every single day.,6551,37 month,Yale University Association for Computing Machinery
project546,546,alda.boyer53@yahoo.com,She was the mother of my children.,6398,37 year,Yale University Neuroscience Society
project547,547,evie_kirlin75@hotmail.com,This place is big enough for both of us.,1788,1.5 years,Yale University Orchestra
project548,548,lera47@gmail.com,The snail has a hard shell.,930,44 months,Yale University Developer Student Club
project549,549,myah_daniel@yahoo.com,I want to have fun with you.,1895,40 years,Yale University Design For America
project550,550,jayne.ullrich76@gmail.com,He’s a chemistry whiz.,7625,39 weeks,Yale University Discussions Undergraduate Research Journal
project551,551,deja35@hotmail.com,Strawberries are in season.,7671,3 months,Pomona College Engineers Without Borders
project552,552,stone83@gmail.com,She is a very smart girl.,7543,6 months,Pomona College Girls Who Code
project553,553,ferne35@yahoo.com,He was dressed like a bear.,4363,2 months,Pomona College Hackers Society
project554,554,patricia_cruickshank48@gmail.com,It's her field.,4353,5 months,Pomona College Biomedical Engineering Society
project555,555,zoie.wilderman2@hotmail.com,She knows New York like the back of her hand.,5900,38 month,Pomona College American Institute of Chemical Engineers
project556,556,shyann50@gmail.com,You have a red stain on your sweater.,267,3 months,Pomona College Baja Sae
project557,557,liam.predovic@yahoo.com,I could help mom around here.,8524,6 months,Pomona College Aeronautics Team
project558,558,zane.schmitt@yahoo.com,It took quite a while.,4497,2 months,Pomona College MedWish
project559,559,jensen.abshire55@hotmail.com,We have weight training classes.,3941,5 months,Pomona College Rocket Team
project560,560,raphael_marquardt@gmail.com,My pants were falling down so I added a belt.,2672,38 month,Pomona College Global Health Design Collaborative
project561,561,alexandra.skiles@hotmail.com,A man from my future came to me today.,5945,38 year,Pomona College Graduate Civil Engineering Student Association
project562,562,claire56@gmail.com,Tom made a big donation to the hospital.,3320,1.5 years,Pomona College Medical Technology Group
project563,563,cecilia_towne@hotmail.com,We have bodyweight training.,6559,45 months,Pomona College oSTEM
project564,564,kasandra25@gmail.com,I am on a very tight budget.,3940,41 years,Pomona College Society of Hispanic Professional Engineers
project565,565,eleazar.fay@yahoo.com,he is easily offended.,7773,40 weeks,Pomona College Society of Women Engineers
project566,566,clifton.abbott34@yahoo.com,He is younger than I am.,3595,3 months,Pomona College Steel Bridge Team
project567,567,sydnee_goldner@hotmail.com,I expect to be there this evening.,7286,6 months,Pomona College Theta Tau
project568,568,gaylord.anderson73@yahoo.com,I dressed as a fairy last Halloween.,3569,2 months,Pomona College Women in Science and Engineering Roundtable
project569,569,casper_daugherty24@yahoo.com,"“Jimmy,” my grandmother warns.",5159,5 months,Pomona College American Marketing Association
project570,570,jannie33@yahoo.com,China has a higher population than Japan.,2642,39 month,Pomona College Association for Computing Machinery
project571,571,zoey_mertz@hotmail.com,You may choose what to eat from this list.,5385,3 months,Pomona College Neuroscience Society
project572,572,merlin_lakin@yahoo.com,I'll see to it.,6582,6 months,Pomona College Orchestra
project573,573,dallas_jaskolski80@gmail.com,I will make an observation.,6240,2 months,Pomona College Developer Student Club
project574,574,paula_altenwerth28@hotmail.com,I love rain.,6598,5 months,Pomona College Design For America
project575,575,alisha86@yahoo.com,My mother never lies.,6553,39 month,Pomona College Discussions Undergraduate Research Journal
project576,576,macie.pagac@gmail.com,Soccer is the devil's sport.,2193,39 year,University of California at Berkeley Engineers Without Borders
project577,577,berry.larson@gmail.com,You have a red stain on your sweater.,3119,1.5 years,University of California at Berkeley Girls Who Code
project578,578,kallie_haley@hotmail.com,The window looks out on a garden.,8334,46 months,University of California at Berkeley Hackers Society
project579,579,imani_haley@gmail.com,It’s as flat as a pancake.,6459,42 years,University of California at Berkeley Biomedical Engineering Society
project580,580,erica_will@yahoo.com,Asia has a very long and interesting history.,4675,41 weeks,University of California at Berkeley American Institute of Chemical Engineers
project581,581,telly_oreilly53@gmail.com,They gave a big party for me.,473,3 months,University of California at Berkeley Baja Sae
project582,582,rita39@yahoo.com,Tom is a big shot.,414,6 months,University of California at Berkeley Aeronautics Team
project583,583,johnnie_zulauf72@yahoo.com,My sister killed it.,5864,2 months,University of California at Berkeley MedWish
project584,584,vincent_hudson47@gmail.com,I have something to tell you.,5966,5 months,University of California at Berkeley Rocket Team
project585,585,dorris93@gmail.com,That movie franchise sucks.,3561,40 month,University of California at Berkeley Global Health Design Collaborative
project586,586,cyrus.nicolas14@hotmail.com,I can't believe you went skydiving last week.,5706,3 months,University of California at Berkeley Graduate Civil Engineering Student Association
project587,587,nicholas.fisher79@yahoo.com,He was efficient in his work.,8173,6 months,University of California at Berkeley Medical Technology Group
project588,588,luz_franecki@yahoo.com,The editor the newspaper hired laughed.,2975,2 months,University of California at Berkeley oSTEM
project589,589,shawna_sawayn97@hotmail.com,It was a long night.,8020,5 months,University of California at Berkeley Society of Hispanic Professional Engineers
project590,590,patsy.hoeger@gmail.com,That's why I'm broke.,9898,40 month,University of California at Berkeley Society of Women Engineers
project591,591,marquise_renner13@hotmail.com,That is a great idea.,7803,40 year,University of California at Berkeley Steel Bridge Team
project592,592,dennis.witting@gmail.com,The ocean is my favorite view.,7869,1.5 years,University of California at Berkeley Theta Tau
project593,593,haven.beier82@gmail.com,Actions speak louder than words.,1265,47 months,University of California at Berkeley Women in Science and Engineering Roundtable
project594,594,elwyn_davis@gmail.com,I need to stop spending money.,1290,43 years,University of California at Berkeley American Marketing Association
project595,595,maria_ziemann67@gmail.com,You must have a huge family.,8620,42 weeks,University of California at Berkeley Association for Computing Machinery
project596,596,emmie4@yahoo.com,They’re as different as night and day.,9133,3 months,University of California at Berkeley Neuroscience Society
project597,597,eugenia_mayer@yahoo.com,Tom gave Mary an obvious wink.,6644,6 months,University of California at Berkeley Orchestra
project598,598,elian_sauer@yahoo.com,He wanted to get the cheese so badly.,1426,2 months,University of California at Berkeley Developer Student Club
project599,599,delia.reilly@gmail.com,Toothpaste will help keep your teeth clean.,2341,5 months,University of California at Berkeley Design For America
project600,600,nikki_waelchi17@gmail.com,These men are hard at work.,3166,41 month,University of California at Berkeley Discussions Undergraduate Research Journal
project601,601,ada86@yahoo.com,The castle is on top of a cliff.,621,3 months,Case Western Reserve University Math Club
project602,602,susana97@yahoo.com,I am a little mad right now.,1018,6 months,Case Western Reserve University Girls Who Code
project603,603,efrain50@hotmail.com,The party was a huge success.,853,2 months,Case Western Reserve University Hackers Society
project604,604,lucas_daugherty66@hotmail.com,He is in his normal clothes.,3542,5 months,Case Western Reserve University Biomedical Engineering Society
project605,605,crystal.oconner9@hotmail.com,They don’t go to school tomorrow.,7113,41 month,Case Western Reserve University American Institute of Chemical Engineers
project606,606,erika56@gmail.com,I love this headline so much.,2727,41 year,Case Western Reserve University Baja Sae
project607,607,jacquelyn.kassulke@yahoo.com,I want to have fun with you.,5101,1.5 years,Case Western Reserve University Aeronautics Team
project608,608,herbert.bruen@hotmail.com,Uncle Joe gave me a red toy truck.,2015,48 months,Case Western Reserve University MedWish
project609,609,jessie.stracke33@hotmail.com,He uses the snorkel to breathe under water.,4163,44 years,Case Western Reserve University Rocket Team
project610,610,colleen_dare@gmail.com,I hope your trip is relaxing.,8813,43 weeks,Case Western Reserve University Global Health Design Collaborative
project611,611,holly.spencer56@gmail.com,I could help dad around here.,506,3 months,Case Western Reserve University Graduate Civil Engineering Student Association
project612,612,idell90@gmail.com,"My friends are getting dinner tonight,.",1113,6 months,Case Western Reserve University Medical Technology Group
project613,613,nathaniel11@gmail.com,He drives to work.,4689,2 months,Case Western Reserve University oSTEM
project614,614,jeffery15@yahoo.com,Hairless cats are probably cold a lot.,8788,5 months,Case Western Reserve University Society of Hispanic Professional Engineers
project615,615,michale_rodriguez@gmail.com,I just took a nap.,6722,42 month,Case Western Reserve University Society of Women Engineers
project616,616,hyman.kuvalis@gmail.com,I wish Ubers weren't so expensive.,7118,3 months,Case Western Reserve University Steel Bridge Team
project617,617,maybell_dietrich@gmail.com,There was a parade today.,2343,6 months,Case Western Reserve University Theta Tau
project618,618,cecelia53@gmail.com,Kids are wearing masks.,5275,2 months,Case Western Reserve University Women in Science and Engineering Roundtable
project619,619,ernestine_langworth70@hotmail.com,I want to have a pink bed this year.,3568,5 months,Case Western Reserve University American Marketing Association
project620,620,jayden_murazik73@gmail.com,You're so adorable.,9081,42 month,Case Western Reserve University Association for Computing Machinery
project621,621,giuseppe_stehr66@gmail.com,We already know the truth.,4124,42 year,Case Western Reserve University Neuroscience Society
project622,622,janiya_wiegand70@hotmail.com,They had a very bad breakup.,2019,1.5 years,Case Western Reserve University Orchestra
project623,623,rubie_waters77@gmail.com,That will do.,1665,49 months,Case Western Reserve University Developer Student Club
project624,624,kristian95@hotmail.com,She’s an excellent photographer.,2983,45 years,Case Western Reserve University Design For America
project625,625,nadia_morissette@gmail.com,I want to plug my ears.,9035,44 weeks,Case Western Reserve University Discussions Undergraduate Research Journal
project626,626,jaydon_deckow@hotmail.com,I don't like desk lamps.,4106,3 months,Ohio State University   Engineers Without Borders
project627,627,walton22@yahoo.com,He is bigger than all the other boys.,9986,6 months,Ohio State University   Girls Who Code
project628,628,amina.lang@yahoo.com,That guy's got an ugly face.,3121,2 months,Ohio State University   Hackers Society
project629,629,jarred.herman37@yahoo.com,He opens the door.,5665,5 months,Ohio State University   Biomedical Engineering Society
project630,630,lulu28@yahoo.com,I used to have a goldfish.,9130,43 month,Ohio State University   American Institute of Chemical Engineers
project631,631,claude62@yahoo.com,My watch is faster than yours.,9730,3 months,Ohio State University   Baja Sae
project632,632,marcelle.wuckert95@gmail.com,The recipe says to use one tablespoon.,5497,6 months,Ohio State University   Aeronautics Team
project633,633,katharina31@yahoo.com,He wanted to get the cheese so badly.,9391,2 months,Ohio State University   MedWish
project634,634,juana50@gmail.com,She prefers to take a vitamin capsule.,7979,5 months,Ohio State University   Rocket Team
project635,635,quinn_stoltenberg@yahoo.com,The kitchen required updating.,4065,43 month,Ohio State University   Global Health Design Collaborative
project636,636,addie_ernser@gmail.com,She got bent out of shape.,4263,43 year,Ohio State University   Graduate Civil Engineering Student Association
project637,637,wilson.jaskolski@gmail.com,It’s getting dark.,4922,1.5 years,Ohio State University   Medical Technology Group
project638,638,katarina66@yahoo.com,John went to the store.,3759,50 months,Ohio State University   oSTEM
project639,639,mose_ryan@yahoo.com,"I do have a crush, but it's not mutual.",7633,46 years,Ohio State University   Society of Hispanic Professional Engineers
project640,640,ryleigh81@yahoo.com,I like rice and beans for dinner.,6895,45 weeks,Ohio State University   Society of Women Engineers
project641,641,alda_dare@gmail.com,This is a real step forward.,4107,3 months,Ohio State University   Steel Bridge Team
project642,642,kellie_ebert@yahoo.com,We live near an old library.,6399,6 months,Ohio State University   Theta Tau
project643,643,ariel_conn@hotmail.com,Spring is the prettiest season.,2940,2 months,Ohio State University   Women in Science and Engineering Roundtable
project644,644,chaz93@yahoo.com,I want a complete list of your books.,7775,5 months,Ohio State University   American Marketing Association
project645,645,abbey57@yahoo.com,She is a very smart girl.,9587,44 month,Ohio State University   Association for Computing Machinery
project646,646,erich_johnson98@yahoo.com,My efforts resulted in nothing.,4246,3 months,Ohio State University   Neuroscience Society
project647,647,elmore_kris@gmail.com,My Airpods keep falling out of my ears.,3347,6 months,Ohio State University   Orchestra
project648,648,ida99@gmail.com,You're not looking at the big picture here.,703,2 months,Ohio State University   Developer Student Club
project649,649,parker_murazik@hotmail.com,He is my classmate.,5495,5 months,Ohio State University   Design For America
project650,650,raven77@hotmail.com,She had five piercings in each ear.,6877,44 month,Ohio State University   Discussions Undergraduate Research Journal
project651,651,meagan.hartmann@hotmail.com,A white background is easier to work with.,3545,44 year,Indiana University Engineers Without Borders
project652,652,joyce84@hotmail.com,It takes two to tango.,3099,1.5 years,Indiana University Girls Who Code
project653,653,caleb68@hotmail.com,I would not want to be in that situation.,3347,51 months,Indiana University Hackers Society
project654,654,emely69@gmail.com,My dad needs a new job.,353,47 years,Indiana University Biomedical Engineering Society
project655,655,gabriella8@hotmail.com,Make hay while the sun shines.,7939,46 weeks,Indiana University American Institute of Chemical Engineers
project656,656,bo79@yahoo.com,Star Wars made me cry.,1773,3 months,Indiana University Baja Sae
project657,657,gabrielle_turcotte@gmail.com,We're no different from anyone else.,3610,6 months,Indiana University Aeronautics Team
project658,658,estevan_towne@hotmail.com,The fan was blowing on my feet.,5961,2 months,Indiana University MedWish
project659,659,rocio19@gmail.com,I just walked on the furriest lawn.,5717,5 months,Indiana University Rocket Team
project660,660,moses_emmerich82@yahoo.com,I'll be back by 4.,4492,45 month,Indiana University Global Health Design Collaborative
project661,661,stephania_mitchell@yahoo.com,You guys can leave whenever you want.,7475,3 months,Indiana University Graduate Civil Engineering Student Association
project662,662,tracey_wilderman@hotmail.com,Good location choice.,9489,6 months,Indiana University Medical Technology Group
project663,663,toney37@hotmail.com,I like reading detective stories.,6981,2 months,Indiana University oSTEM
project664,664,zechariah_fisher@yahoo.com,I am going to make my bed first.,4410,5 months,Indiana University Society of Hispanic Professional Engineers
project665,665,dale68@hotmail.com,I want to eat.,9858,45 month,Indiana University Society of Women Engineers
project666,666,angela67@hotmail.com,Yesterday he saw a skinny man.,2297,45 year,Indiana University Steel Bridge Team
project667,667,stephanie.turcotte6@hotmail.com,They have a big lunch and a small dinner.,1262,1.5 years,Indiana University Theta Tau
project668,668,tara.beatty@yahoo.com,The tables were made of fake wood.,5279,52 months,Indiana University Women in Science and Engineering Roundtable
project669,669,reuben_mcclure@gmail.com,It's so expensive I want to die.,6215,48 years,Indiana University American Marketing Association
project670,670,sigurd.emmerich70@yahoo.com,A man from my future came to me today.,3045,47 weeks,Indiana University Association for Computing Machinery
project671,671,maiya.tromp@gmail.com,Property values will go up.,5522,3 months,Indiana University Neuroscience Society
project672,672,marisa95@gmail.com,It is what it is.,47,6 months,Indiana University Orchestra
project673,673,domenica22@hotmail.com,They got off on the wrong foot.,2863,2 months,Indiana University Developer Student Club
project674,674,eleanora73@gmail.com,I’d like to honor an event.,7499,5 months,Indiana University Design For America
project675,675,christiana23@yahoo.com,She liked patterned socks.,5403,46 month,Indiana University Discussions Undergraduate Research Journal
project676,676,lorine.reynolds30@hotmail.com,She’s as white as a sheet.,2444,3 months,University of Pennsylvania  Engineers Without Borders
project677,677,viva.brown@yahoo.com,I just made it.,331,6 months,University of Pennsylvania  Girls Who Code
project678,678,enola9@hotmail.com,The steak is on the grill.,2038,2 months,University of Pennsylvania  Hackers Society
project679,679,skye_pfeffer66@yahoo.com,I went to the dentist for a check-up.,6965,5 months,University of Pennsylvania  Biomedical Engineering Society
project680,680,laurence89@hotmail.com,You're taking a risk coming here.,545,46 month,University of Pennsylvania  American Institute of Chemical Engineers
project681,681,elda_parker16@hotmail.com,They're not big fans of mine.,8241,46 year,University of Pennsylvania  Baja Sae
project682,682,darby.keeling14@gmail.com,"The spirit is willing, but the flesh is weak.",2196,1.5 years,University of Pennsylvania  Aeronautics Team
project683,683,jayne87@hotmail.com,"In Australia, McDonald's is called Maccas.",652,53 months,University of Pennsylvania  MedWish
project684,684,jacklyn.weissnat59@yahoo.com,There's a scary thunderstorm on way.,9332,49 years,University of Pennsylvania  Rocket Team
project685,685,retha_walker12@yahoo.com,She had a variety of masks.,7730,48 weeks,University of Pennsylvania  Global Health Design Collaborative
project686,686,novella.schowalter99@hotmail.com,Of course it traumatized me.,2132,3 months,University of Pennsylvania  Graduate Civil Engineering Student Association
project687,687,jean32@gmail.com,He drew all over his yearbook.,144,6 months,University of Pennsylvania  Medical Technology Group
project688,688,vidal.prohaska77@hotmail.com,A yardstick is 3 feet long.,2694,2 months,University of Pennsylvania  oSTEM
project689,689,edd.aufderhar@hotmail.com,He's finally stopping.,8234,5 months,University of Pennsylvania  Society of Hispanic Professional Engineers
project690,690,craig_bednar97@hotmail.com,"It's a big country, Tom.",7754,47 month,University of Pennsylvania  Society of Women Engineers
project691,691,dedrick_fahey@gmail.com,I tie my tie.,5677,3 months,University of Pennsylvania  Steel Bridge Team
project692,692,nettie79@hotmail.com,Any day will do.,3569,6 months,University of Pennsylvania  Theta Tau
project693,693,rosanna.carroll97@gmail.com,She wasn't sure if she wanted to go or not.,4668,2 months,University of Pennsylvania  Women in Science and Engineering Roundtable
project694,694,esperanza.halvorson5@yahoo.com,He neither smokes nor drinks.,865,5 months,University of Pennsylvania  American Marketing Association
project695,695,milo12@hotmail.com,He ordered a latte.,8360,47 month,University of Pennsylvania  Association for Computing Machinery
project696,696,jackie.hoeger@gmail.com,I'd like to run a stock farm.,3745,47 year,University of Pennsylvania  Neuroscience Society
project697,697,marisol60@gmail.com,These dancers are like family.,587,1.5 years,University of Pennsylvania  Orchestra
project698,698,fannie.hilll25@hotmail.com,John went to the store.,281,54 months,University of Pennsylvania  Developer Student Club
project699,699,carleton_reichert51@yahoo.com,She likes parties.,480,50 years,University of Pennsylvania  Design For America
project700,700,marian25@yahoo.com,There was a rock concert in 1970.,6455,49 weeks,University of Pennsylvania  Discussions Undergraduate Research Journal
project701,701,cecilia_morissette@gmail.com,This radio is no bigger than a matchbox.,491,3 months,University of Illinois Chicago Engineers Without Borders
project702,702,ulices.mclaughlin@yahoo.com,I hope things will be different for you.,1550,6 months,University of Illinois Chicago Girls Who Code
project703,703,whitney25@yahoo.com,He won an election.,3041,2 months,University of Illinois Chicago Hackers Society
project704,704,nona_leuschke@gmail.com,That man is creepy.,6544,5 months,University of Illinois Chicago Biomedical Engineering Society
project705,705,felicia.swaniawski40@gmail.com,Tom had a wide smile on his face.,4420,48 month,University of Illinois Chicago American Institute of Chemical Engineers
project706,706,angelo.littel25@gmail.com,My dad killed my houseplants.,8864,3 months,University of Illinois Chicago Baja Sae
project707,707,gino_oconnell@yahoo.com,He drives to work.,5199,6 months,University of Illinois Chicago Aeronautics Team
project708,708,julian.effertz12@gmail.com,He got a fantastic performance review.,6943,2 months,University of Illinois Chicago MedWish
project709,709,matilde.hermann@hotmail.com,She’s headed to the Hockey Hall of Fame.,2054,5 months,University of Illinois Chicago Rocket Team
project710,710,jamaal.shanahan@yahoo.com,She told me that she had bigger fish to fry.,8179,48 month,University of Illinois Chicago Global Health Design Collaborative
project711,711,reymundo69@yahoo.com,The way you said that didn't make sense.,2859,48 year,University of Illinois Chicago Graduate Civil Engineering Student Association
project712,712,hassie50@yahoo.com,We go to the gym club together.,3336,1.5 years,University of Illinois Chicago Medical Technology Group
project713,713,jack.dare@gmail.com,There's a big package on the desk for you.,5150,55 months,University of Illinois Chicago oSTEM
project714,714,hipolito.ledner77@yahoo.com,He struck his attacker in the ear.,4037,51 years,University of Illinois Chicago Society of Hispanic Professional Engineers
project715,715,karli_graham72@hotmail.com,I almost forgot to tell you the big news.,6672,50 weeks,University of Illinois Chicago Society of Women Engineers
project716,716,wilfred.cartwright48@yahoo.com,There is a huge market for coffee.,1027,3 months,University of Illinois Chicago Steel Bridge Team
project717,717,arden_bradtke50@gmail.com,There was a list of available candidates.,2438,6 months,University of Illinois Chicago Theta Tau
project718,718,braxton.feeney82@gmail.com,I go to the bathroom.,8932,2 months,University of Illinois Chicago Women in Science and Engineering Roundtable
project719,719,jaydon_brakus87@yahoo.com,It's up to you.,1073,5 months,University of Illinois Chicago American Marketing Association
project720,720,tad.gislason98@gmail.com,Being fashionable is not expensive.,3537,49 month,University of Illinois Chicago Association for Computing Machinery
project721,721,adolf22@hotmail.com,There are just so many card games.,3530,3 months,University of Illinois Chicago Neuroscience Society
project722,722,shany.oberbrunner@gmail.com,I had so much hope in the beginning.,8765,6 months,University of Illinois Chicago Orchestra
project723,723,jacquelyn_emmerich61@hotmail.com,The woman wasn't replying to her emails.,3999,2 months,University of Illinois Chicago Developer Student Club
project724,724,michele7@yahoo.com,Going to a bar is a fun thing to do.,3189,5 months,University of Illinois Chicago Design For America
project725,725,mohamed.witting62@yahoo.com,That is a pencil.,9418,49 month,University of Illinois Chicago Discussions Undergraduate Research Journal
project726,726,ezequiel72@yahoo.com,I wish Star Wars had a happier plot.,5375,49 year,University of Illinois Urbana Champaign Engineers Without Borders
project727,727,orin_zulauf@yahoo.com,They employed him as a consultant.,3478,1.5 years,University of Illinois Urbana Champaign Girls Who Code
project728,728,allan.terry51@yahoo.com,I had to put a pin in his femur.,6541,56 months,University of Illinois Urbana Champaign Hackers Society
project729,729,domenico8@hotmail.com,I added his name to the book.,3157,52 years,University of Illinois Urbana Champaign Biomedical Engineering Society
project730,730,jazmyn.kertzmann60@gmail.com,He’s a natural.,1491,51 weeks,University of Illinois Urbana Champaign American Institute of Chemical Engineers
project731,731,sigmund49@hotmail.com,His chopsticks were made from bamboo.,7858,3 months,University of Illinois Urbana Champaign Baja Sae
project732,732,gerardo_rempel86@hotmail.com,"Show me your rates, please.",1317,6 months,University of Illinois Urbana Champaign Aeronautics Team
project733,733,katelin_gorczany4@gmail.com,I haven’t been invited.,9371,2 months,University of Illinois Urbana Champaign MedWish
project734,734,rylee.windler18@hotmail.com,I write fake news.,8768,5 months,University of Illinois Urbana Champaign Rocket Team
project735,735,nina.ruecker92@hotmail.com,I was called into the office first.,5364,50 month,University of Illinois Urbana Champaign Global Health Design Collaborative
project736,736,jessy.watsica39@yahoo.com,Here is David with his guitar.,8281,3 months,University of Illinois Urbana Champaign Graduate Civil Engineering Student Association
project737,737,sally.macgyver24@hotmail.com,I am extra ticklish for some reason.,5482,6 months,University of Illinois Urbana Champaign Medical Technology Group
project738,738,christopher_towne46@hotmail.com,They speak English in the United States.,9840,2 months,University of Illinois Urbana Champaign oSTEM
project739,739,lennie1@hotmail.com,This jacket is a little too thick.,3383,5 months,University of Illinois Urbana Champaign Society of Hispanic Professional Engineers
project740,740,myriam26@gmail.com,I have something to tell you.,2482,50 month,University of Illinois Urbana Champaign Society of Women Engineers
project741,741,elenora.abbott12@yahoo.com,I want many things for myself.,2986,50 year,University of Illinois Urbana Champaign Steel Bridge Team
project742,742,dora.mckenzie@hotmail.com,I do not eat meat.,6061,1.5 years,University of Illinois Urbana Champaign Theta Tau
project743,743,adelbert.yundt@hotmail.com,Many large cities have smog.,1847,57 months,University of Illinois Urbana Champaign Women in Science and Engineering Roundtable
project744,744,norma35@gmail.com,She washed the tomatoes.,9814,53 years,University of Illinois Urbana Champaign American Marketing Association
project745,745,fletcher.bayer33@yahoo.com,Tom took a big bite out of Mary's sandwich.,3198,52 weeks,University of Illinois Urbana Champaign Association for Computing Machinery
project746,746,ulices81@yahoo.com,We have a brown dog.,900,3 months,University of Illinois Urbana Champaign Neuroscience Society
project747,747,joy.reilly@yahoo.com,His father owns the restaurant.,9777,6 months,University of Illinois Urbana Champaign Orchestra
project748,748,bethel4@yahoo.com,Tom wants a nicer house.,520,2 months,University of Illinois Urbana Champaign Developer Student Club
project749,749,boris.dickens52@yahoo.com,She was afraid to go to the doctor.,6743,5 months,University of Illinois Urbana Champaign Design For America
project750,750,fae.altenwerth50@hotmail.com,I'll make a statement.,5189,51 month,University of Illinois Urbana Champaign Discussions Undergraduate Research Journal
project751,751,oleta39@gmail.com,You should eat them.,3106,3 months,University of Michigan Engineers Without Borders
project752,752,jaida_donnelly@hotmail.com,We made it to the club.,2751,6 months,University of Michigan Girls Who Code
project753,753,elyse3@gmail.com,It’ll happen any day now.,7117,2 months,University of Michigan Hackers Society
project754,754,pierce_mayer76@gmail.com,I have 10 hair straighteners.,5522,5 months,University of Michigan Biomedical Engineering Society
project755,755,esteban_bode@hotmail.com,I go to the bathroom.,7358,51 month,University of Michigan American Institute of Chemical Engineers
project756,756,mina_mckenzie@hotmail.com,They sleep in the afternoon.,4756,51 year,University of Michigan Baja Sae
project757,757,marquis_rempel@yahoo.com,I can be greedy sometimes.,4549,1.5 years,University of Michigan Aeronautics Team
